Date,TSGYO.IS
2020-09-22,2.559999942779541
2020-09-23,2.630000114440918
2020-09-24,2.690000057220459
2020-09-25,2.6500000953674316
2020-09-28,2.619999885559082
2020-09-29,2.5399999618530273
2020-09-30,2.4700000286102295
2020-10-01,2.359999895095825
2020-10-02,2.299999952316284
2020-10-05,2.5299999713897705
2020-10-06,2.7799999713897705
2020-10-07,3.049999952316284
2020-10-08,3.2300000190734863
2020-10-09,3.049999952316284
2020-10-12,3.130000114440918
2020-10-13,3.440000057220459
2020-10-14,3.509999990463257
2020-10-15,3.380000114440918
2020-10-16,3.7100000381469727
2020-10-19,3.990000009536743
2020-10-20,4.019999980926514
2020-10-21,3.6500000953674316
2020-10-22,3.319999933242798
2020-10-23,3.569999933242798
2020-10-26,3.2300000190734863
2020-10-27,3.299999952316284
