Date,OZKGY.IS
2020-09-18,2.0199999809265137
2020-09-21,1.9450000524520874
2020-09-22,1.9550000429153442
2020-09-23,2.0
2020-09-24,1.9700000286102295
2020-09-25,1.9800000190734863
2020-09-28,1.9550000429153442
2020-09-29,1.9900000095367432
2020-09-30,2.059999942779541
2020-10-01,2.0450000762939453
2020-10-02,2.125
2020-10-05,2.174999952316284
2020-10-06,2.134999990463257
2020-10-07,2.1649999618530273
2020-10-08,2.1549999713897705
2020-10-09,2.2200000286102295
2020-10-12,2.2750000953674316
2020-10-13,2.2750000953674316
2020-10-14,2.2799999713897705
2020-10-15,2.194999933242798
2020-10-16,2.2249999046325684
2020-10-19,2.244999885559082
2020-10-20,2.3399999141693115
2020-10-21,2.4000000953674316
2020-10-22,2.3399999141693115
2020-10-23,2.244999885559082
