Date,EGGUB.IS
2020-10-16,123.80000305175781
2020-10-19,130.39999389648438
2020-10-20,128.10000610351562
2020-10-21,124.9000015258789
2020-10-22,125.30000305175781
2020-10-23,125.0999984741211
2020-10-26,117.80000305175781
2020-10-27,121.69999694824219
2020-10-28,120.5
2020-10-30,118.4000015258789
2020-11-02,120.5
2020-11-03,121.5999984741211
2020-11-04,122.9000015258789
2020-11-05,125.5999984741211
2020-11-06,124.0999984741211
2020-11-09,122.9000015258789
2020-11-10,124.69999694824219
2020-11-11,126.80000305175781
2020-11-12,123.5
2020-11-13,125.19999694824219
2020-11-16,125.5
2020-11-17,124.4000015258789
2020-11-18,124.30000305175781
2020-11-19,127.5
2020-11-20,137.5
2020-11-23,145.3000030517578
2020-11-24,138.60000610351562
2020-11-25,137.8000030517578
