Date,PKENT.IS
2020-10-13,28.333332061767578
2020-10-14,28.333332061767578
2020-10-15,29.16666603088379
2020-10-16,31.25
2020-10-19,34.383331298828125
2020-10-20,33.33333206176758
2020-10-21,31.25
2020-10-22,29.16666603088379
2020-10-23,28.333332061767578
2020-10-26,25.875
2020-10-27,29.3125
2020-10-28,28.333332061767578
2020-10-30,27.083332061767578
2020-11-02,24.625
2020-11-03,27.087499618530273
2020-11-04,29.795833587646484
2020-11-05,32.291664123535156
2020-11-06,29.0625
2020-11-09,31.966665267944336
2020-11-10,31.958332061767578
2020-11-11,32.5
2020-11-12,33.75
2020-11-13,33.75
2020-11-16,33.75
2020-11-17,31.25
2020-11-18,29.16666603088379
2020-11-19,32.08333206176758
2020-11-20,35.291664123535156
2020-11-23,38.329166412353516
2020-11-24,35.416664123535156
2020-11-25,35.416664123535156
2020-11-26,38.75
2020-11-27,39.58333206176758
2020-11-30,35.625
2020-12-01,39.125
2020-12-02,42.08333206176758
2020-12-03,42.916664123535156
2020-12-04,44.166664123535156
2020-12-07,40.416664123535156
2020-12-08,37.95833206176758
2020-12-09,37.224998474121094
2020-12-10,40.916664123535156
2020-12-11,38.1875
2020-12-14,37.77083206176758
2020-12-15,37.375
2020-12-16,37.37083435058594
2020-12-17,36.65833282470703
2020-12-18,36.666664123535156
2020-12-21,37.483333587646484
2020-12-22,33.73749923706055
2020-12-23,35.979164123535156
2020-12-24,35.70000076293945
2020-12-25,37.08333206176758
2020-12-28,36.666664123535156
2020-12-29,37.079166412353516
2020-12-30,35.0
2020-12-31,37.766666412353516
2021-01-04,36.875
2021-01-05,36.55416488647461
2021-01-06,36.820831298828125
2021-01-07,37.849998474121094
2021-01-08,37.587501525878906
2021-01-11,37.03333282470703
2021-01-12,37.95000076293945
2021-01-13,37.108333587646484
2021-01-14,40.791664123535156
2021-01-15,44.87083435058594
2021-01-18,49.354164123535156
2021-01-19,54.287498474121094
2021-01-20,59.712501525878906
2021-01-21,65.68333435058594
2021-01-22,65.41666412353516
2021-01-25,62.45000076293945
2021-01-26,58.33333206176758
2021-01-27,52.5
2021-01-28,57.75
2021-01-29,63.525001525878906
2021-02-01,69.875
2021-02-02,76.86250305175781
2021-02-03,71.875
2021-02-04,77.08333587646484
2021-02-05,77.91666412353516
2021-02-08,82.91666412353516
2021-02-09,75.49583435058594
2021-02-10,78.95833587646484
2021-02-11,77.08333587646484
2021-02-12,79.16666412353516
2021-02-15,75.42500305175781
2021-02-16,75.53333282470703
2021-02-17,76.90833282470703
2021-02-18,75.87916564941406
2021-02-19,73.33333587646484
2021-02-22,70.0
2021-02-23,66.66666412353516
2021-02-24,73.33333587646484
2021-02-25,76.5999984741211
2021-02-26,71.45833587646484
2021-03-01,71.61666870117188
2021-03-02,75.0
2021-03-03,71.22916412353516
2021-03-04,76.4124984741211
2021-03-05,80.55416870117188
2021-03-08,86.80416870117188
2021-03-09,95.04166412353516
2021-03-10,104.54582977294922
2021-03-11,97.92500305175781
2021-03-12,96.875
2021-03-15,95.83333587646484
2021-03-16,96.625
2021-03-17,102.29166412353516
2021-03-18,101.66666412353516
2021-03-19,100.0250015258789
2021-03-22,97.97083282470703
2021-03-23,101.04166412353516
2021-03-24,106.10832977294922
2021-03-25,105.12083435058594
2021-03-26,115.62916564941406
2021-03-29,116.63749694824219
2021-03-30,115.70833587646484
2021-03-31,115.91666412353516
2021-04-01,115.91666412353516
2021-04-02,116.52083587646484
2021-04-05,112.5
2021-04-06,108.77916717529297
2021-04-07,106.58333587646484
2021-04-08,104.58333587646484
2021-04-09,104.16666412353516
2021-04-12,97.92082977294922
2021-04-13,97.0374984741211
2021-04-14,98.83333587646484
2021-04-15,97.9124984741211
2021-04-16,95.83333587646484
2021-04-19,93.78333282470703
2021-04-20,91.70833587646484
2021-04-21,88.125
2021-04-22,93.75
2021-04-26,100.91666412353516
2021-04-27,100.88333129882812
2021-04-28,110.41666412353516
2021-04-29,108.9124984741211
2021-04-30,106.25
2021-05-03,105.0
2021-05-04,103.33333587646484
2021-05-05,100.17082977294922
2021-05-06,104.16666412353516
2021-05-07,104.04166412353516
2021-05-10,99.95416259765625
2021-05-11,97.29166412353516
2021-05-12,96.54166412353516
2021-05-17,96.66666412353516
2021-05-18,96.66666412353516
2021-05-20,95.83333587646484
2021-05-21,95.8375015258789
2021-05-24,96.62083435058594
2021-05-25,96.45833587646484
2021-05-26,96.66666412353516
2021-05-27,97.70833587646484
2021-05-28,97.70833587646484
2021-05-31,100.0
2021-06-01,107.08333587646484
2021-06-02,113.33333587646484
2021-06-03,124.57916259765625
2021-06-04,112.125
2021-06-07,102.44583129882812
2021-06-08,103.33333587646484
2021-06-09,101.49583435058594
2021-06-10,105.7874984741211
2021-06-11,108.4000015258789
2021-06-14,108.41666412353516
2021-06-15,108.32499694824219
2021-06-16,103.44999694824219
2021-06-17,100.5625
2021-06-18,100.30833435058594
2021-06-21,100.83333587646484
2021-06-22,99.99583435058594
2021-06-23,97.80416870117188
2021-06-24,102.08333587646484
2021-06-25,100.83333587646484
2021-06-28,99.75
2021-06-29,97.95416259765625
2021-06-30,107.74583435058594
2021-07-01,118.51666259765625
2021-07-02,106.66666412353516
2021-07-05,96.0
2021-07-06,101.04166412353516
2021-07-07,100.33333587646484
2021-07-08,97.84583282470703
2021-07-09,95.92916870117188
2021-07-12,97.91666412353516
2021-07-13,96.625
2021-07-14,96.67500305175781
2021-07-16,97.33333587646484
2021-07-19,95.83333587646484
2021-07-26,94.58333587646484
2021-07-27,91.60416412353516
2021-07-28,89.61666870117188
2021-07-29,87.70833587646484
2021-07-30,91.93333435058594
2021-08-02,89.58333587646484
2021-08-03,90.0
2021-08-04,90.41666412353516
2021-08-05,87.5
2021-08-06,87.2750015258789
2021-08-09,85.02083587646484
2021-08-10,82.70416259765625
2021-08-11,82.49166870117188
2021-08-12,83.58333587646484
2021-08-13,84.95416259765625
2021-08-16,83.33333587646484
2021-08-17,82.5
2021-08-18,82.94583129882812
2021-08-19,87.29166412353516
2021-08-20,85.43333435058594
2021-08-23,83.19999694824219
2021-08-24,83.1624984741211
2021-08-25,82.5
2021-08-26,83.50833129882812
2021-08-27,83.33333587646484
2021-08-31,83.32499694824219
2021-09-01,83.33333587646484
2021-09-02,83.24583435058594
2021-09-03,83.00416564941406
2021-09-06,83.02083587646484
2021-09-07,83.875
2021-09-08,81.76249694824219
2021-09-09,81.34583282470703
2021-09-10,81.25416564941406
2021-09-13,81.25
2021-09-14,81.25
2021-09-15,81.2249984741211
2021-09-16,80.64583587646484
2021-09-17,82.37916564941406
2021-09-20,79.44166564941406
2021-09-21,83.375
2021-09-22,83.3375015258789
2021-09-23,89.57916259765625
2021-09-24,98.53333282470703
2021-09-27,108.38333129882812
2021-09-28,114.87916564941406
2021-09-29,116.57499694824219
2021-09-30,118.32916259765625
2021-10-01,120.4124984741211
2021-10-04,120.41666412353516
2021-10-05,122.0250015258789
2021-10-06,128.32083129882812
2021-10-07,133.3333282470703
2021-10-08,146.6666717529297
2021-10-11,145.8333282470703
2021-10-12,146.82916259765625
2021-10-13,147.0833282470703
2021-10-14,146.62083435058594
2021-10-15,148.3333282470703
2021-10-18,145.8333282470703
2021-10-19,145.83749389648438
2021-10-20,147.125
2021-10-21,146.875
2021-10-22,145.8333282470703
2021-10-25,146.25
2021-10-26,147.14999389648438
2021-10-27,147.14999389648438
2021-10-28,147.9166717529297
2021-11-01,148.5416717529297
2021-11-02,149.5833282470703
2021-11-03,149.9583282470703
2021-11-04,150.08749389648438
2021-11-05,150.4583282470703
2021-11-08,151.80833435058594
2021-11-09,150.625
2021-11-10,151.0416717529297
2021-11-11,154.1666717529297
2021-11-12,153.0833282470703
2021-11-15,151.99583435058594
2021-11-16,150.30416870117188
2021-11-17,151.25
2021-11-18,152.08749389648438
2021-11-19,151.84165954589844
2021-11-22,151.875
2021-11-23,150.8333282470703
2021-11-24,150.0
2021-11-25,156.25
2021-11-26,156.0124969482422
2021-11-29,154.5833282470703
2021-11-30,154.1666717529297
2021-12-01,154.2083282470703
2021-12-02,169.62916564941406
2021-12-03,186.59165954589844
2021-12-06,205.25
2021-12-07,225.77499389648438
2021-12-08,216.625
2021-12-09,209.16250610351562
2021-12-10,208.3333282470703
2021-12-13,208.80833435058594
2021-12-14,208.7916717529297
2021-12-15,229.67083740234375
2021-12-16,252.6374969482422
2021-12-17,254.87083435058594
2021-12-20,280.3541564941406
2021-12-21,308.38751220703125
2021-12-22,312.5041809082031
2021-12-23,303.0041809082031
2021-12-24,292.625
2021-12-27,295.875
2021-12-28,300.0
2021-12-29,300.0
2021-12-30,294.7166748046875
2021-12-31,302.67498779296875
2022-01-03,303.3333435058594
2022-01-04,300.1499938964844
2022-01-05,298.0625
2022-01-06,300.0
2022-01-07,304.1666564941406
2022-01-10,297.5
2022-01-11,300.0
2022-01-12,307.7083435058594
2022-01-13,318.76251220703125
2022-01-14,350.6000061035156
2022-01-17,365.6000061035156
2022-01-18,329.1000061035156
2022-01-19,296.20001220703125
2022-01-20,325.79998779296875
2022-01-21,321.8999938964844
2022-01-24,312.6000061035156
2022-01-25,320.20001220703125
2022-01-26,320.0
2022-01-27,320.0
2022-01-28,311.8999938964844
2022-01-31,301.5
2022-02-01,331.6000061035156
2022-02-02,335.70001220703125
2022-02-03,369.20001220703125
2022-02-04,406.1000061035156
2022-02-07,446.70001220703125
2022-02-08,491.29998779296875
2022-02-09,540.4000244140625
2022-02-10,594.4000244140625
2022-02-11,653.7999877929688
2022-02-14,719.0999755859375
2022-02-15,791.0
2022-02-16,711.9000244140625
2022-02-17,640.7999877929688
2022-02-18,576.7999877929688
2022-02-21,519.2000122070312
2022-02-22,467.29998779296875
2022-02-23,471.70001220703125
2022-02-24,424.6000061035156
2022-02-25,424.0
2022-02-28,381.6000061035156
2022-03-01,376.79998779296875
2022-03-02,340.0
2022-03-03,374.0
2022-03-04,363.0
2022-03-07,346.0
2022-03-08,331.70001220703125
2022-03-09,336.8999938964844
2022-03-10,325.1000061035156
2022-03-11,341.0
2022-03-14,361.1000061035156
2022-03-15,397.20001220703125
2022-03-16,436.8999938964844
2022-03-17,393.29998779296875
2022-03-18,354.0
2022-03-21,318.6000061035156
2022-03-22,286.79998779296875
2022-03-23,258.20001220703125
2022-03-24,232.39999389648438
2022-03-25,255.60000610351562
2022-03-28,246.5
2022-03-29,234.89999389648438
2022-03-30,211.60000610351562
2022-03-31,223.1999969482422
2022-04-01,212.10000610351562
2022-04-04,208.0
2022-04-05,212.10000610351562
2022-04-06,208.6999969482422
2022-04-07,209.5
2022-04-08,209.3000030517578
2022-04-11,206.5
2022-04-12,205.89999389648438
2022-04-13,205.10000610351562
2022-04-14,208.1999969482422
2022-04-15,209.0
2022-04-18,229.89999389648438
2022-04-19,228.89999389648438
2022-04-20,218.89999389648438
2022-04-21,216.6999969482422
2022-04-22,221.0
2022-04-25,220.0
2022-04-26,215.3000030517578
2022-04-27,212.8000030517578
2022-04-28,213.5
2022-04-29,212.0
2022-05-05,210.60000610351562
2022-05-06,209.3000030517578
2022-05-09,208.60000610351562
2022-05-10,207.6999969482422
2022-05-11,206.5
2022-05-12,185.89999389648438
2022-05-13,167.39999389648438
2022-05-16,159.0
2022-05-17,155.8000030517578
2022-05-18,153.6999969482422
2022-05-20,155.60000610351562
2022-05-23,155.60000610351562
2022-05-24,152.1999969482422
2022-05-25,151.39999389648438
2022-05-26,150.0
2022-05-27,147.0
2022-05-30,148.0
2022-05-31,144.60000610351562
2022-06-01,140.3000030517578
2022-06-02,140.39999389648438
2022-06-03,143.6999969482422
2022-06-06,148.8000030517578
2022-06-07,146.1999969482422
2022-06-08,141.0
2022-06-09,140.5
2022-06-10,140.39999389648438
2022-06-13,137.8000030517578
2022-06-14,151.5
2022-06-15,144.6999969482422
2022-06-16,142.3000030517578
2022-06-17,141.60000610351562
2022-06-20,141.89999389648438
2022-06-21,141.39999389648438
2022-06-22,140.5
2022-06-23,141.0
2022-06-24,141.0
2022-06-27,139.5
2022-06-28,138.39999389648438
2022-06-29,134.89999389648438
2022-06-30,140.39999389648438
2022-07-01,137.89999389648438
2022-07-04,135.10000610351562
2022-07-05,132.0
2022-07-06,133.0
2022-07-07,133.0
2022-07-08,134.1999969482422
2022-07-13,133.5
2022-07-14,131.10000610351562
2022-07-18,133.89999389648438
2022-07-19,136.89999389648438
2022-07-20,135.39999389648438
2022-07-21,138.60000610351562
2022-07-22,137.0
2022-07-25,137.5
2022-07-26,139.5
2022-07-27,137.8000030517578
2022-07-28,141.5
2022-07-29,146.0
