Date,TTRAK.IS
2020-10-16,120.19999694824219
2020-10-19,117.9000015258789
2020-10-20,118.4000015258789
2020-10-21,117.5999984741211
2020-10-22,121.0
2020-10-23,119.80000305175781
2020-10-26,117.0
2020-10-27,115.5999984741211
2020-10-28,112.0
2020-10-30,109.5999984741211
2020-11-02,111.5
2020-11-03,117.30000305175781
2020-11-04,126.5
2020-11-05,124.0
2020-11-06,130.0
2020-11-09,130.6999969482422
2020-11-10,127.80000305175781
2020-11-11,127.4000015258789
2020-11-12,125.0
2020-11-13,129.89999389648438
2020-11-16,137.0
2020-11-17,137.10000610351562
2020-11-18,139.3000030517578
2020-11-19,139.8000030517578
2020-11-20,144.8000030517578
2020-11-23,144.39999389648438
2020-11-24,145.8000030517578
2020-11-25,142.5
2020-11-26,143.60000610351562
2020-11-27,140.89999389648438
