Date,KONTR.IS
2021-08-04,61.400001525878906
2021-08-05,60.5
2021-08-06,59.45000076293945
2021-08-09,61.29999923706055
2021-08-10,60.0
2021-08-11,59.79999923706055
2021-08-12,58.650001525878906
2021-08-13,59.45000076293945
2021-08-16,60.75
2021-08-17,59.349998474121094
2021-08-18,58.75
2021-08-19,57.45000076293945
2021-08-20,58.5
2021-08-23,57.150001525878906
2021-08-24,57.70000076293945
2021-08-25,55.900001525878906
2021-08-26,53.70000076293945
2021-08-27,54.0
2021-08-31,53.04999923706055
2021-09-01,58.349998474121094
2021-09-02,64.1500015258789
2021-09-03,61.349998474121094
2021-09-06,63.650001525878906
2021-09-07,61.54999923706055
2021-09-08,67.69999694824219
2021-09-09,66.80000305175781
2021-09-10,67.0
2021-09-13,66.0999984741211
2021-09-14,67.05000305175781
2021-09-15,65.19999694824219
2021-09-16,63.849998474121094
2021-09-17,62.099998474121094
2021-09-20,59.150001525878906
2021-09-21,62.349998474121094
2021-09-22,62.54999923706055
2021-09-23,62.5
2021-09-24,61.29999923706055
2021-09-27,60.349998474121094
2021-09-28,61.54999923706055
2021-09-29,61.0
2021-09-30,60.54999923706055
2021-10-01,60.04999923706055
2021-10-04,59.79999923706055
2021-10-05,58.900001525878906
2021-10-06,60.45000076293945
2021-10-07,61.45000076293945
2021-10-08,60.29999923706055
2021-10-11,60.04999923706055
2021-10-12,59.29999923706055
2021-10-13,59.0
2021-10-14,59.25
2021-10-15,62.650001525878906
2021-10-18,64.0999984741211
2021-10-19,64.4000015258789
2021-10-20,64.44999694824219
2021-10-21,66.0
2021-10-22,70.5999984741211
2021-10-25,70.94999694824219
2021-10-26,74.0
2021-10-27,74.1500015258789
2021-10-28,73.25
2021-11-01,71.0
2021-11-02,74.0
2021-11-03,74.30000305175781
2021-11-04,74.75
2021-11-05,78.69999694824219
2021-11-08,76.75
2021-11-09,73.6500015258789
2021-11-10,73.9000015258789
2021-11-11,72.94999694824219
2021-11-12,73.69999694824219
2021-11-15,73.0
2021-11-16,69.94999694824219
2021-11-17,70.25
2021-11-18,70.25
2021-11-19,70.55000305175781
2021-11-22,71.9000015258789
2021-11-23,70.0
2021-11-24,70.44999694824219
2021-11-25,70.6500015258789
2021-11-26,71.0
2021-11-29,70.5
2021-11-30,70.9000015258789
2021-12-01,71.0
2021-12-02,73.94999694824219
2021-12-03,73.30000305175781
2021-12-06,72.5
2021-12-07,73.6500015258789
2021-12-08,73.1500015258789
2021-12-09,72.1500015258789
2021-12-10,71.94999694824219
2021-12-13,72.5
2021-12-14,71.4000015258789
2021-12-15,69.5
2021-12-16,70.94999694824219
2021-12-17,63.900001525878906
2021-12-20,64.8499984741211
2021-12-21,65.94999694824219
2021-12-22,64.80000305175781
2021-12-23,64.1500015258789
2021-12-24,66.94999694824219
2021-12-27,67.75
2021-12-28,65.75
2021-12-29,65.0
2021-12-30,64.44999694824219
2021-12-31,65.0
2022-01-03,67.9000015258789
2022-01-04,69.25
2022-01-05,71.30000305175781
2022-01-06,75.05000305175781
2022-01-07,74.55000305175781
2022-01-10,74.3499984741211
2022-01-11,76.4000015258789
2022-01-12,75.0
2022-01-13,76.0
2022-01-14,75.44999694824219
2022-01-17,80.55000305175781
2022-01-18,81.5999984741211
2022-01-19,84.80000305175781
2022-01-20,82.25
2022-01-21,89.9000015258789
2022-01-24,92.3499984741211
2022-01-25,93.1500015258789
2022-01-26,102.4000015258789
2022-01-27,112.5999984741211
2022-01-28,120.0999984741211
2022-01-31,116.30000305175781
2022-02-01,114.30000305175781
2022-02-02,112.30000305175781
2022-02-03,121.69999694824219
2022-02-04,130.0
2022-02-07,129.1999969482422
2022-02-08,126.5999984741211
2022-02-09,131.0
2022-02-10,127.0
2022-02-11,121.30000305175781
2022-02-14,118.0
2022-02-15,119.0999984741211
2022-02-16,117.9000015258789
2022-02-17,113.9000015258789
2022-02-18,114.0
2022-02-21,115.19999694824219
2022-02-22,113.9000015258789
2022-02-23,121.4000015258789
2022-02-24,109.30000305175781
2022-02-25,116.19999694824219
2022-02-28,120.5
2022-03-01,129.60000610351562
2022-03-02,133.5
2022-03-03,136.5
2022-03-04,138.10000610351562
2022-03-07,144.8000030517578
2022-03-08,139.3000030517578
2022-03-09,139.1999969482422
2022-03-10,136.3000030517578
2022-03-11,139.6999969482422
2022-03-14,139.6999969482422
2022-03-15,133.3000030517578
2022-03-16,129.6999969482422
2022-03-17,128.3000030517578
2022-03-18,138.60000610351562
2022-03-21,141.8000030517578
2022-03-22,140.39999389648438
2022-03-23,145.0
2022-03-24,143.10000610351562
2022-03-25,144.5
2022-03-28,138.8000030517578
2022-03-29,136.0
2022-03-30,137.0
2022-03-31,137.0
2022-04-01,138.5
2022-04-04,135.60000610351562
2022-04-05,135.0
2022-04-06,131.10000610351562
2022-04-07,137.10000610351562
2022-04-08,138.89999389648438
2022-04-11,136.8000030517578
2022-04-12,134.3000030517578
2022-04-13,135.6999969482422
2022-04-14,138.6999969482422
2022-04-15,138.10000610351562
2022-04-18,140.3000030517578
2022-04-19,147.8000030517578
2022-04-20,148.0
2022-04-21,152.8000030517578
2022-04-22,150.0
2022-04-25,155.89999389648438
2022-04-26,159.10000610351562
2022-04-27,159.0
2022-04-28,160.5
2022-04-29,154.0
2022-05-05,150.6999969482422
2022-05-06,154.0
2022-05-09,155.1999969482422
2022-05-10,154.60000610351562
2022-05-11,155.5
2022-05-12,152.3000030517578
2022-05-13,152.8000030517578
2022-05-16,152.0
2022-05-17,154.5
2022-05-18,151.39999389648438
2022-05-20,150.89999389648438
2022-05-23,151.0
2022-05-24,150.6999969482422
2022-05-25,150.1999969482422
2022-05-26,149.60000610351562
2022-05-27,146.89999389648438
2022-05-30,150.0
2022-05-31,147.0
2022-06-01,149.10000610351562
2022-06-02,148.39999389648438
2022-06-03,156.1999969482422
2022-06-06,165.60000610351562
2022-06-07,166.1999969482422
2022-06-08,165.0
2022-06-09,167.0
2022-06-10,160.10000610351562
2022-06-13,153.5
2022-06-14,154.8000030517578
2022-06-15,155.3000030517578
2022-06-16,153.60000610351562
2022-06-17,155.0
2022-06-20,160.0
2022-06-21,158.0
2022-06-22,157.0
2022-06-23,157.0
2022-06-24,155.0
2022-06-27,151.1999969482422
2022-06-28,151.1999969482422
2022-06-29,152.0
2022-06-30,149.89999389648438
2022-07-01,152.39999389648438
2022-07-04,151.39999389648438
2022-07-05,150.0
2022-07-06,150.60000610351562
2022-07-07,153.0
2022-07-08,154.5
2022-07-13,161.0
2022-07-14,154.8000030517578
2022-07-18,153.8000030517578
2022-07-19,153.60000610351562
2022-07-20,152.8000030517578
2022-07-21,152.60000610351562
2022-07-22,151.3000030517578
2022-07-25,151.1999969482422
2022-07-26,150.3000030517578
2022-07-27,150.6999969482422
2022-07-28,151.0
2022-07-29,151.3000030517578
