Date,HLGYO.IS
2020-09-16,1.8298829793930054
2020-09-17,1.8528529405593872
2020-09-18,1.9141039848327637
2020-09-21,1.8145710229873657
2020-09-22,1.8528529405593872
2020-09-23,1.8222270011901855
2020-09-24,1.7839449644088745
2020-09-25,1.7992579936981201
2020-09-28,1.8145710229873657
2020-09-29,1.7839449644088745
2020-09-30,1.8298829793930054
2020-10-01,1.7916009426116943
2020-10-02,1.80691397190094
2020-10-05,1.80691397190094
2020-10-06,1.7992579936981201
2020-10-07,1.80691397190094
2020-10-08,1.8298829793930054
2020-10-09,1.9294170141220093
2020-10-12,1.960042953491211
2020-10-13,2.1514530181884766
2020-10-14,2.0442628860473633
2020-10-15,1.9830119609832764
2020-10-16,1.9753550291061401
2020-10-19,2.036607027053833
2020-10-20,2.0595760345458984
