Date,HEKTS.IS
2020-09-17,2.3702149391174316
2020-09-18,2.505059003829956
2020-09-21,2.3531219959259033
2020-09-22,2.3379290103912354
2020-09-23,2.374013900756836
2020-09-24,2.4006030559539795
2020-09-25,2.396804094314575
2020-09-28,2.3588199615478516
2020-09-29,2.3493239879608154
2020-09-30,2.3721139430999756
2020-10-01,2.374013900756836
2020-10-02,2.3550219535827637
2020-10-05,2.374013900756836
2020-10-06,2.4081990718841553
2020-10-07,2.5715320110321045
2020-10-08,2.5297489166259766
2020-10-09,2.491765022277832
2020-10-12,2.505059003829956
2020-10-13,2.514554977416992
2020-10-14,2.505059003829956
2020-10-15,2.569632053375244
2020-10-16,2.55633807182312
2020-10-19,2.598120927810669
2020-10-20,2.598120927810669
2020-10-21,2.6285080909729004
2020-10-22,2.5905239582061768
