Date,DARDL.IS
2020-04-09,6.639999866485596
2020-04-10,6.590000152587891
2020-04-13,6.559999942779541
2020-04-14,6.599999904632568
2020-04-15,6.5
2020-04-16,6.619999885559082
2020-04-17,6.900000095367432
2020-04-20,7.639999866485596
2020-04-21,8.399999618530273
2020-04-22,8.1899995803833
2020-04-24,8.239999771118164
2020-04-27,8.5
2020-04-28,7.949999809265137
2020-04-29,8.0
2020-04-30,7.110000133514404
2020-05-04,7.820000171661377
2020-05-05,7.809999942779541
2020-05-06,7.75
2020-05-07,7.71999979019165
2020-05-08,7.760000228881836
2020-05-11,7.460000038146973
2020-05-12,7.71999979019165
2020-05-13,7.71999979019165
2020-05-14,8.489999771118164
2020-05-15,8.979999542236328
2020-05-18,9.5
2020-05-20,9.010000228881836
2020-05-21,9.829999923706055
2020-05-22,10.0
2020-05-27,11.0
2020-05-28,10.529999732971191
2020-05-29,10.449999809265137
2020-06-01,10.699999809265137
2020-06-02,12.100000381469727
2020-06-03,11.399999618530273
2020-06-04,11.850000381469727
2020-06-05,11.949999809265137
2020-06-08,11.829999923706055
2020-06-09,11.449999809265137
2020-06-10,10.899999618530273
2020-06-11,11.920000076293945
2020-06-12,11.720000267028809
2020-06-15,11.529999732971191
2020-06-16,11.960000038146973
2020-06-17,11.970000267028809
2020-06-18,12.0
2020-06-19,12.180000305175781
2020-06-22,12.010000228881836
2020-06-23,11.970000267028809
2020-06-24,11.789999961853027
2020-06-25,11.5
2020-06-26,11.9399995803833
2020-06-29,11.9399995803833
2020-06-30,11.75
2020-07-01,11.649999618530273
2020-07-02,11.699999809265137
2020-07-03,11.609999656677246
2020-07-06,11.5600004196167
2020-07-07,11.5600004196167
2020-07-08,11.5
2020-07-09,11.949999809265137
2020-07-10,11.5
2020-07-13,11.649999618530273
2020-07-14,11.5
2020-07-16,11.579999923706055
2020-07-17,11.550000190734863
2020-07-20,11.8100004196167
2020-07-21,12.239999771118164
2020-07-22,12.0
2020-07-23,12.010000228881836
2020-07-24,13.3100004196167
2020-07-27,14.3100004196167
2020-07-28,12.979999542236328
2020-07-29,13.5
2020-07-30,12.300000190734863
2020-08-04,12.470000267028809
2020-08-05,12.699999809265137
2020-08-06,12.0
2020-08-07,12.25
2020-08-10,13.75
2020-08-11,13.0600004196167
2020-08-12,13.5
2020-08-13,13.149999618530273
2020-08-14,13.0
2020-08-17,12.600000381469727
2020-08-18,12.640000343322754
2020-08-19,12.600000381469727
2020-08-20,12.0
2020-08-21,11.970000267028809
2020-08-24,11.90999984741211
2020-08-25,11.6899995803833
2020-08-26,11.630000114440918
2020-08-27,12.779999732971191
2020-08-28,12.5
2020-08-31,12.300000190734863
2020-09-01,11.949999809265137
2020-09-02,12.300000190734863
2020-09-03,12.0
2020-09-04,12.140000343322754
2020-09-07,12.369999885559082
