Date,EGSER.IS
2020-09-30,6.699999809265137
2020-10-01,6.559999942779541
2020-10-02,6.78000020980835
2020-10-05,6.880000114440918
2020-10-06,6.800000190734863
2020-10-07,6.840000152587891
2020-10-08,7.019999980926514
2020-10-09,7.099999904632568
2020-10-12,7.079999923706055
2020-10-13,7.059999942779541
2020-10-14,6.980000019073486
2020-10-15,6.840000152587891
2020-10-16,6.909999847412109
2020-10-19,7.119999885559082
2020-10-20,7.119999885559082
2020-10-21,6.989999771118164
2020-10-22,7.110000133514404
2020-10-23,7.019999980926514
2020-10-26,6.349999904632568
2020-10-27,6.690000057220459
2020-10-28,6.690000057220459
2020-10-30,7.349999904632568
2020-11-02,7.239999771118164
2020-11-03,7.389999866485596
2020-11-04,7.96999979019165
2020-11-05,8.350000381469727
