Date,NUGYO.IS
2020-09-28,6.670000076293945
2020-09-29,6.599999904632568
2020-09-30,6.860000133514404
2020-10-01,6.659999847412109
2020-10-02,6.619999885559082
2020-10-05,6.670000076293945
2020-10-06,6.690000057220459
2020-10-07,7.340000152587891
2020-10-08,8.069999694824219
2020-10-09,7.619999885559082
2020-10-12,7.420000076293945
2020-10-13,7.46999979019165
2020-10-14,7.599999904632568
2020-10-15,7.25
2020-10-16,7.269999980926514
2020-10-19,7.070000171661377
2020-10-20,7.289999961853027
2020-10-21,7.150000095367432
2020-10-22,6.96999979019165
2020-10-23,6.889999866485596
2020-10-26,6.199999809265137
2020-10-27,6.159999847412109
2020-10-28,6.099999904632568
2020-10-30,5.800000190734863
2020-11-02,5.980000019073486
2020-11-03,5.920000076293945
2020-11-04,6.019999980926514
