Date,TUPRS.IS
2020-10-16,82.44999694824219
2020-10-19,81.05000305175781
2020-10-20,80.69999694824219
2020-10-21,80.25
2020-10-22,79.6500015258789
2020-10-23,79.25
2020-10-26,76.05000305175781
2020-10-27,77.55000305175781
2020-10-28,76.0
2020-10-30,74.5
2020-11-02,75.5
2020-11-03,76.75
2020-11-04,77.6500015258789
2020-11-05,77.3499984741211
2020-11-06,77.30000305175781
2020-11-09,82.3499984741211
2020-11-10,84.30000305175781
2020-11-11,87.44999694824219
2020-11-12,89.25
2020-11-13,88.94999694824219
2020-11-16,89.05000305175781
2020-11-17,85.69999694824219
2020-11-18,88.30000305175781
2020-11-19,89.8499984741211
2020-11-20,89.1500015258789
2020-11-23,87.80000305175781
2020-11-24,90.1500015258789
2020-11-25,92.9000015258789
