Date,OTKAR.IS
2020-10-20,159.3000030517578
2020-10-21,158.10000610351562
2020-10-22,161.5
2020-10-23,171.1999969482422
2020-10-26,157.10000610351562
2020-10-27,169.5
2020-10-28,166.6999969482422
2020-10-30,179.60000610351562
2020-11-02,181.8000030517578
2020-11-03,179.0
2020-11-04,198.89999389648438
2020-11-05,200.0
2020-11-06,203.8000030517578
2020-11-09,201.0
2020-11-10,202.5
2020-11-11,200.6999969482422
2020-11-12,194.0
2020-11-13,201.5
2020-11-16,198.3000030517578
2020-11-17,192.60000610351562
2020-11-18,198.10000610351562
2020-11-19,197.8000030517578
2020-11-20,204.0
2020-11-23,214.39999389648438
2020-11-24,236.60000610351562
2020-11-25,236.89999389648438
2020-11-26,240.0
2020-11-27,227.8000030517578
2020-11-30,221.0
2020-12-01,237.8000030517578
