Date,TUKAS.IS
2020-10-05,9.859999656677246
2020-10-06,9.789999961853027
2020-10-07,9.739999771118164
2020-10-08,10.119999885559082
2020-10-09,10.819999694824219
2020-10-12,11.9399995803833
2020-10-13,12.600000381469727
2020-10-14,11.350000381469727
2020-10-15,11.680000305175781
2020-10-16,11.479999542236328
2020-10-19,11.210000038146973
2020-10-20,11.630000114440918
2020-10-21,11.260000228881836
2020-10-22,11.329999923706055
2020-10-23,11.329999923706055
2020-10-26,10.199999809265137
2020-10-27,10.199999809265137
2020-10-28,10.140000343322754
2020-10-30,10.029999732971191
2020-11-02,10.140000343322754
2020-11-03,10.069999694824219
2020-11-04,10.140000343322754
2020-11-05,10.380000114440918
2020-11-06,11.010000228881836
2020-11-09,10.770000457763672
2020-11-10,10.670000076293945
