Date,BERA.IS
2020-09-30,10.329999923706055
2020-10-01,10.300000190734863
2020-10-02,10.239999771118164
2020-10-05,10.489999771118164
2020-10-06,10.300000190734863
2020-10-07,10.199999809265137
2020-10-08,10.050000190734863
2020-10-09,9.949999809265137
2020-10-12,10.020000457763672
2020-10-13,9.9399995803833
2020-10-14,10.050000190734863
2020-10-15,10.020000457763672
2020-10-16,10.0600004196167
2020-10-19,10.25
2020-10-20,10.550000190734863
2020-10-21,10.25
2020-10-22,10.0
2020-10-23,9.920000076293945
2020-10-26,9.029999732971191
2020-10-27,9.319999694824219
2020-10-28,9.09000015258789
2020-10-30,8.859999656677246
2020-11-02,9.15999984741211
2020-11-03,9.420000076293945
2020-11-04,9.65999984741211
2020-11-05,9.9399995803833
2020-11-06,9.899999618530273
