Date,QUAGR.IS
2022-01-18,11.920000076293945
2022-01-19,12.260000228881836
2022-01-20,12.130000114440918
2022-01-21,12.199999809265137
2022-01-24,11.800000190734863
2022-01-25,12.180000305175781
2022-01-26,12.270000457763672
2022-01-27,12.359999656677246
2022-01-28,12.529999732971191
2022-01-31,12.40999984741211
2022-02-01,12.579999923706055
2022-02-02,12.420000076293945
2022-02-03,12.5600004196167
2022-02-04,12.84000015258789
2022-02-07,13.470000267028809
2022-02-08,12.720000267028809
2022-02-09,12.569999694824219
2022-02-10,12.399999618530273
2022-02-11,12.199999809265137
2022-02-14,12.010000228881836
2022-02-15,12.109999656677246
2022-02-16,12.039999961853027
2022-02-17,11.869999885559082
2022-02-18,12.220000267028809
2022-02-21,12.199999809265137
2022-02-22,12.180000305175781
2022-02-23,12.300000190734863
