Date,MAVI.IS
2020-10-08,19.139999389648438
2020-10-09,19.149999618530273
2020-10-12,19.350000381469727
2020-10-13,19.93000030517578
2020-10-14,20.479999542236328
2020-10-15,21.489999771118164
2020-10-16,22.030000686645508
2020-10-19,22.860000610351562
2020-10-20,22.610000610351562
2020-10-21,21.950000762939453
2020-10-22,22.670000076293945
2020-10-23,22.139999389648438
2020-10-26,19.889999389648438
2020-10-27,19.860000610351562
2020-10-28,19.0
2020-10-30,18.540000915527344
2020-11-02,18.600000381469727
2020-11-03,18.559999465942383
2020-11-04,19.1200008392334
2020-11-05,19.450000762939453
2020-11-06,19.3799991607666
2020-11-09,20.850000381469727
2020-11-10,21.690000534057617
2020-11-11,21.700000762939453
2020-11-12,22.399999618530273
2020-11-13,23.700000762939453
2020-11-16,23.760000228881836
