Date,NATEN.IS
2020-10-05,42.13999938964844
2020-10-06,45.099998474121094
2020-10-07,45.02000045776367
2020-10-08,43.220001220703125
2020-10-09,40.040000915527344
2020-10-12,37.959999084472656
2020-10-13,41.70000076293945
2020-10-14,40.0
2020-10-15,38.439998626708984
2020-10-16,38.20000076293945
2020-10-19,37.02000045776367
2020-10-20,37.0
2020-10-21,36.2599983215332
2020-10-22,37.060001373291016
2020-10-23,36.959999084472656
2020-10-26,34.279998779296875
2020-10-27,35.279998779296875
2020-10-28,34.15999984741211
2020-10-30,31.899999618530273
2020-11-02,31.600000381469727
2020-11-03,30.579999923706055
2020-11-04,33.619998931884766
2020-11-05,36.97999954223633
2020-11-06,37.63999938964844
2020-11-09,36.63999938964844
2020-11-10,35.119998931884766
2020-11-11,34.880001068115234
