Date,CIMSA.IS
2020-10-02,13.4399995803833
2020-10-05,13.59000015258789
2020-10-06,13.479999542236328
2020-10-07,13.390000343322754
2020-10-08,13.460000038146973
2020-10-09,13.479999542236328
2020-10-12,13.5
2020-10-13,14.289999961853027
2020-10-14,14.109999656677246
2020-10-15,13.800000190734863
2020-10-16,13.789999961853027
2020-10-19,13.970000267028809
2020-10-20,14.140000343322754
2020-10-21,13.989999771118164
2020-10-22,13.789999961853027
2020-10-23,13.59000015258789
2020-10-26,12.640000343322754
2020-10-27,13.15999984741211
2020-10-28,12.6899995803833
2020-10-30,12.479999542236328
2020-11-02,12.630000114440918
2020-11-03,12.670000076293945
2020-11-04,13.470000267028809
2020-11-05,13.529999732971191
2020-11-06,13.600000381469727
2020-11-09,14.130000114440918
2020-11-10,14.670000076293945
