Date,ALGYO.IS
2020-10-02,17.799999237060547
2020-10-05,18.040000915527344
2020-10-06,17.6299991607666
2020-10-07,17.65999984741211
2020-10-08,17.399999618530273
2020-10-09,17.479999542236328
2020-10-12,18.280000686645508
2020-10-13,18.280000686645508
2020-10-14,18.770000457763672
2020-10-15,18.1299991607666
2020-10-16,18.299999237060547
2020-10-19,18.780000686645508
2020-10-20,19.149999618530273
2020-10-21,18.600000381469727
2020-10-22,18.809999465942383
2020-10-23,18.3700008392334
2020-10-26,17.350000381469727
2020-10-27,18.049999237060547
2020-10-28,17.3700008392334
2020-10-30,16.510000228881836
2020-11-02,16.700000762939453
2020-11-03,16.959999084472656
2020-11-04,17.079999923706055
2020-11-05,17.3700008392334
2020-11-06,17.40999984741211
2020-11-09,17.6200008392334
2020-11-10,18.200000762939453
