Date,CEMTS.IS
2020-08-05,10.729999542236328
2020-08-06,9.699999809265137
2020-08-07,10.460000038146973
2020-08-10,10.40999984741211
2020-08-11,10.34000015258789
2020-08-12,10.140000343322754
2020-08-13,9.880000114440918
2020-08-14,9.479999542236328
2020-08-17,9.789999961853027
2020-08-18,9.869999885559082
2020-08-19,9.970000267028809
2020-08-20,10.069999694824219
2020-08-21,10.170000076293945
2020-08-24,10.5
2020-08-25,10.539999961853027
2020-08-26,10.920000076293945
2020-08-27,11.390000343322754
2020-08-28,10.949999809265137
2020-08-31,11.039999961853027
2020-09-01,11.800000190734863
2020-09-02,11.59000015258789
2020-09-03,11.300000190734863
2020-09-04,11.199999809265137
2020-09-07,11.399999618530273
2020-09-08,11.300000190734863
2020-09-09,11.619999885559082
2020-09-10,11.510000228881836
2020-09-11,11.420000076293945
2020-09-14,11.619999885559082
2020-09-15,11.600000381469727
2020-09-16,11.979999542236328
2020-09-17,12.140000343322754
2020-09-18,12.15999984741211
2020-09-21,12.34000015258789
2020-09-22,12.5600004196167
2020-09-23,13.899999618530273
2020-09-24,13.630000114440918
2020-09-25,14.960000038146973
2020-09-28,15.210000038146973
2020-09-29,15.649999618530273
2020-09-30,14.899999618530273
2020-10-01,15.149999618530273
