Date,KLKIM.IS
2022-02-16,16.139999389648438
2022-02-17,15.850000381469727
2022-02-18,15.670000076293945
2022-02-21,15.029999732971191
2022-02-22,14.779999732971191
2022-02-23,15.25
2022-02-24,13.729999542236328
2022-02-25,14.579999923706055
2022-02-28,14.380000114440918
2022-03-01,14.59000015258789
2022-03-02,15.0
2022-03-03,15.0
2022-03-04,14.539999961853027
2022-03-07,13.890000343322754
2022-03-08,14.050000190734863
2022-03-09,14.239999771118164
2022-03-10,14.010000228881836
2022-03-11,14.069999694824219
2022-03-14,14.420000076293945
2022-03-15,14.149999618530273
2022-03-16,14.970000267028809
2022-03-17,16.15999984741211
2022-03-18,16.34000015258789
2022-03-21,16.139999389648438
2022-03-22,16.260000228881836
2022-03-23,16.770000457763672
2022-03-24,17.110000610351562
2022-03-25,17.850000381469727
