Date,ATATP.IS
2022-03-22,70.30000305175781
2022-03-23,68.69999694824219
2022-03-24,68.5
2022-03-25,68.4000015258789
2022-03-28,68.25
2022-03-29,68.5
2022-03-30,69.0
2022-03-31,69.8499984741211
2022-04-01,70.19999694824219
2022-04-04,71.30000305175781
2022-04-05,69.5999984741211
2022-04-06,67.75
2022-04-07,67.5999984741211
2022-04-08,67.5
2022-04-11,65.44999694824219
2022-04-12,65.9000015258789
2022-04-13,64.80000305175781
2022-04-14,62.70000076293945
2022-04-15,65.4000015258789
2022-04-18,65.0
2022-04-19,66.0
2022-04-20,65.0999984741211
2022-04-21,64.5999984741211
2022-04-22,63.0
2022-04-25,61.20000076293945
2022-04-26,58.79999923706055
2022-04-27,59.04999923706055
2022-04-28,60.29999923706055
2022-04-29,60.349998474121094
2022-05-05,61.099998474121094
