Date,SARKY.IS
2020-09-25,4.934999942779541
2020-09-28,4.980000019073486
2020-09-29,4.882500171661377
2020-09-30,5.039999961853027
2020-10-01,4.965000152587891
2020-10-02,4.90500020980835
2020-10-05,4.965000152587891
2020-10-06,5.054999828338623
2020-10-07,5.369999885559082
2020-10-08,5.385000228881836
2020-10-09,5.25
2020-10-12,5.227499961853027
2020-10-13,5.565000057220459
2020-10-14,5.557499885559082
2020-10-15,5.369999885559082
2020-10-16,5.362500190734863
2020-10-19,5.302499771118164
2020-10-20,5.4375
2020-10-21,5.369999885559082
2020-10-22,5.287499904632568
2020-10-23,5.272500038146973
2020-10-26,4.934999942779541
2020-10-27,5.070000171661377
2020-10-28,5.002500057220459
2020-10-30,4.942500114440918
2020-11-02,4.980000019073486
2020-11-03,4.934999942779541
