Date,ARENA.IS
2020-08-10,6.943999767303467
2020-08-11,6.88640022277832
2020-08-12,7.564799785614014
2020-08-13,7.078400135040283
2020-08-14,7.033599853515625
2020-08-17,7.04640007019043
2020-08-18,6.924799919128418
2020-08-19,7.007999897003174
2020-08-20,7.455999851226807
2020-08-21,7.731200218200684
2020-08-24,8.30720043182373
2020-08-25,8.435199737548828
2020-08-26,8.71679973602295
2020-08-27,8.97920036315918
2020-08-28,9.222399711608887
2020-08-31,9.747200012207031
2020-09-01,10.457599639892578
2020-09-02,10.105600357055664
2020-09-03,10.387200355529785
2020-09-04,10.079999923706055
2020-09-07,11.02079963684082
2020-09-08,12.140800476074219
2020-09-09,12.15999984741211
2020-09-10,11.545599937438965
2020-09-11,11.987199783325195
2020-09-14,12.0447998046875
2020-09-15,12.172800064086914
2020-09-16,12.0447998046875
2020-09-17,11.801600456237793
2020-09-18,11.456000328063965
2020-09-21,11.699199676513672
2020-09-22,12.064000129699707
2020-09-23,11.935999870300293
2020-09-24,11.686400413513184
