Date,SASA.IS
2020-09-23,6.21388578414917
2020-09-24,6.317636013031006
2020-09-25,6.310225009918213
2020-09-28,6.202770233154297
2020-09-29,6.184243202209473
2020-09-30,6.180538177490234
2020-10-01,6.21388578414917
2020-10-02,6.206474781036377
2020-10-05,6.291698932647705
2020-10-06,6.26205587387085
2020-10-07,6.247233867645264
2020-10-08,6.221296787261963
2020-10-09,6.221296787261963
2020-10-12,6.28799295425415
2020-10-13,6.4362077713012695
2020-10-14,6.328752040863037
2020-10-15,6.250939846038818
2020-10-16,6.273171901702881
2020-10-19,6.269466876983643
2020-10-20,6.236117839813232
2020-10-21,6.21018123626709
2020-10-22,6.117547035217285
2020-10-23,6.247233867645264
2020-10-26,5.984154224395752
2020-10-27,6.095314979553223
2020-10-28,5.9471001625061035
2020-10-30,5.672904014587402
