Date,NETAS.IS
2020-10-02,20.420000076293945
2020-10-05,20.860000610351562
2020-10-06,22.219999313354492
2020-10-07,22.600000381469727
2020-10-08,21.6200008392334
2020-10-09,21.040000915527344
2020-10-12,21.5
2020-10-13,21.799999237060547
2020-10-14,21.299999237060547
2020-10-15,20.979999542236328
2020-10-16,22.0
2020-10-19,21.579999923706055
2020-10-20,22.559999465942383
2020-10-21,22.100000381469727
2020-10-22,22.15999984741211
2020-10-23,22.639999389648438
2020-10-26,20.799999237060547
2020-10-27,21.079999923706055
2020-10-28,20.68000030517578
2020-10-30,20.059999465942383
2020-11-02,20.6200008392334
2020-11-03,20.559999465942383
2020-11-04,21.18000030517578
2020-11-05,22.84000015258789
2020-11-06,21.68000030517578
2020-11-09,21.420000076293945
2020-11-10,21.260000228881836
