Date,CANTE.IS
2022-02-04,17.969999313354492
2022-02-07,18.059999465942383
2022-02-08,18.0
2022-02-09,18.0
2022-02-10,18.0
2022-02-11,17.989999771118164
2022-02-14,18.0
2022-02-15,17.889999389648438
2022-02-16,17.889999389648438
2022-02-17,17.799999237060547
2022-02-18,17.8799991607666
2022-02-21,17.959999084472656
2022-02-22,18.0
2022-02-23,18.0
2022-02-24,16.5
2022-02-25,17.700000762939453
2022-02-28,18.399999618530273
2022-03-01,18.950000762939453
2022-03-02,19.09000015258789
2022-03-03,19.299999237060547
2022-03-04,18.979999542236328
2022-03-07,18.5
2022-03-08,18.5
2022-03-09,19.799999237060547
2022-03-10,20.399999618530273
2022-03-11,20.0
2022-03-14,19.329999923706055
2022-03-15,18.670000076293945
2022-03-16,19.0
