Date,INDES.IS
2020-09-24,3.9574999809265137
2020-09-25,3.9825000762939453
2020-09-28,4.300000190734863
2020-09-29,4.192500114440918
2020-09-30,4.277500152587891
2020-10-01,4.207499980926514
2020-10-02,4.224999904632568
2020-10-05,4.434999942779541
2020-10-06,4.462500095367432
2020-10-07,4.297500133514404
2020-10-08,4.239999771118164
2020-10-09,4.269999980926514
2020-10-12,4.385000228881836
2020-10-13,4.392499923706055
2020-10-14,4.355000019073486
2020-10-15,4.327499866485596
2020-10-16,4.340000152587891
2020-10-19,4.369999885559082
2020-10-20,4.377500057220459
2020-10-21,4.335000038146973
2020-10-22,4.65749979019165
2020-10-23,4.572500228881836
2020-10-26,4.462500095367432
2020-10-27,4.505000114440918
2020-10-28,4.34250020980835
2020-10-30,4.097499847412109
