Date,ASELS.IS
2020-10-02,18.420000076293945
2020-10-05,18.719999313354492
2020-10-06,18.549999237060547
2020-10-07,18.540000915527344
2020-10-08,18.049999237060547
2020-10-09,18.110000610351562
2020-10-12,18.079999923706055
2020-10-13,18.030000686645508
2020-10-14,18.049999237060547
2020-10-15,18.170000076293945
2020-10-16,18.049999237060547
2020-10-19,18.1200008392334
2020-10-20,18.190000534057617
2020-10-21,18.110000610351562
2020-10-22,18.280000686645508
2020-10-23,18.049999237060547
2020-10-26,17.059999465942383
2020-10-27,17.299999237060547
2020-10-28,17.399999618530273
2020-10-30,16.729999542236328
2020-11-02,17.639999389648438
2020-11-03,17.31999969482422
2020-11-04,17.360000610351562
2020-11-05,17.3799991607666
2020-11-06,17.43000030517578
2020-11-09,17.889999389648438
